maturity,coupon,date,price,
3/1/2020,1.5,1/2/2020,99.85,
3/1/2020,1.5,1/3/2020,99.86,
3/1/2020,1.5,1/6/2020,99.86,
3/1/2020,1.5,1/7/2020,99.86,
3/1/2020,1.5,1/8/2020,99.86,
3/1/2020,1.5,1/9/2020,99.86,
3/1/2020,1.5,1/10/2020,99.86,
3/1/2020,1.5,1/13/2020,99.86,
3/1/2020,1.5,1/14/2020,99.86,
3/1/2020,1.5,1/15/2020,99.86,
9/1/2020,0.75,1/2/2020,99.26,
9/1/2020,0.75,1/3/2020,99.28,
9/1/2020,0.75,1/6/2020,99.28,
9/1/2020,0.75,1/7/2020,99.27,
9/1/2020,0.75,1/8/2020,99.28,
9/1/2020,0.75,1/9/2020,99.28,
9/1/2020,0.75,1/10/2020,99.28,
9/1/2020,0.75,1/13/2020,99.27,
9/1/2020,0.75,1/14/2020,99.28,
9/1/2020,0.75,1/15/2020,99.3,
3/1/2021,0.75,1/2/2020,98.89,
3/1/2021,0.75,1/3/2020,98.93,
3/1/2021,0.75,1/6/2020,98.95,
3/1/2021,0.75,1/7/2020,98.94,
3/1/2021,0.75,1/8/2020,98.92,
3/1/2021,0.75,1/9/2020,98.92,
3/1/2021,0.75,1/10/2020,98.88,
3/1/2021,0.75,1/13/2020,98.9,
3/1/2021,0.75,1/14/2020,98.9,
3/1/2021,0.75,1/15/2020,98.93,
9/1/2021,0.75,1/2/2020,98.41,
9/1/2021,0.75,1/3/2020,98.45,
9/1/2021,0.75,1/6/2020,98.49,
9/1/2021,0.75,1/7/2020,98.46,
9/1/2021,0.75,1/8/2020,98.46,
9/1/2021,0.75,1/9/2020,98.43,
9/1/2021,0.75,1/10/2020,98.43,
9/1/2021,0.75,1/13/2020,98.38,
9/1/2021,0.75,1/14/2020,98.41,
9/1/2021,0.75,1/15/2020,98.42,
3/1/2022,0.5,1/2/2020,97.57,
3/1/2022,0.5,1/3/2020,97.63,
3/1/2022,0.5,1/6/2020,97.66,
3/1/2022,0.5,1/7/2020,97.65,
3/1/2022,0.5,1/8/2020,97.64,
3/1/2022,0.5,1/9/2020,97.6,
3/1/2022,0.5,1/10/2020,97.61,
3/1/2022,0.5,1/13/2020,97.57,
3/1/2022,0.5,1/14/2020,97.58,
3/1/2022,0.5,1/15/2020,97.61,
6/1/2022,2.75,1/2/2020,102.53,
6/1/2022,2.75,1/3/2020,102.59,
6/1/2022,2.75,1/6/2020,102.62,
6/1/2022,2.75,1/7/2020,102.59,
6/1/2022,2.75,1/8/2020,102.58,
6/1/2022,2.75,1/9/2020,102.52,
6/1/2022,2.75,1/10/2020,102.52,
6/1/2022,2.75,1/13/2020,102.46,
6/1/2022,2.75,1/14/2020,102.47,
6/1/2022,2.75,1/15/2020,102.5,
3/1/2023,1.75,1/2/2020,100.31,
3/1/2023,1.75,1/3/2020,100.42,
3/1/2023,1.75,1/6/2020,100.48,
3/1/2023,1.75,1/7/2020,100.45,
3/1/2023,1.75,1/8/2020,100.44,
3/1/2023,1.75,1/9/2020,100.35,
3/1/2023,1.75,1/10/2020,100.31,
3/1/2023,1.75,1/13/2020,100.27,
3/1/2023,1.75,1/14/2020,100.31,
3/1/2023,1.75,1/15/2020,100.38,
6/1/2023,1.5,1/2/2020,99.48,
6/1/2023,1.5,1/3/2020,99.59,
6/1/2023,1.5,1/6/2020,99.65,
6/1/2023,1.5,1/7/2020,99.61,
6/1/2023,1.5,1/8/2020,99.62,
6/1/2023,1.5,1/9/2020,99.54,
6/1/2023,1.5,1/10/2020,99.53,
6/1/2023,1.5,1/13/2020,99.44,
6/1/2023,1.5,1/14/2020,99.49,
6/1/2023,1.5,1/15/2020,99.56,
3/1/2024,2.25,1/2/2020,102.52,
3/1/2024,2.25,1/3/2020,102.65,
3/1/2024,2.25,1/6/2020,102.75,
3/1/2024,2.25,1/7/2020,102.58,
3/1/2024,2.25,1/8/2020,102.68,
3/1/2024,2.25,1/9/2020,102.53,
3/1/2024,2.25,1/10/2020,102.47,
3/1/2024,2.25,1/13/2020,102.46,
3/1/2024,2.25,1/14/2020,102.54,
3/1/2024,2.25,1/15/2020,102.64,
9/1/2024,1.5,1/2/2020,98.72,
9/1/2024,1.5,1/3/2020,98.95,
9/1/2024,1.5,1/6/2020,99.29,
9/1/2024,1.5,1/7/2020,99.11,
9/1/2024,1.5,1/8/2020,99.25,
9/1/2024,1.5,1/9/2020,98.99,
9/1/2024,1.5,1/10/2020,99.03,
9/1/2024,1.5,1/13/2020,99.06,
9/1/2024,1.5,1/14/2020,98.99,
9/1/2024,1.5,1/15/2020,99.1,
